state,type,date,staff
Malaysia,all,1/1/2014,121530
Malaysia,all,1/1/2015,132082
Malaysia,all,1/1/2016,137743
Malaysia,all,1/1/2017,143596
Malaysia,all,1/1/2018,147674
Malaysia,all,1/1/2019,154177
Malaysia,all,1/1/2020,156639
Malaysia,all,1/1/2021,162634
Malaysia,all,1/1/2022,167690
