date,state,district,type,beds
1/1/2015,Malaysia,All,all,45087
1/1/2016,Malaysia,All,all,45678
1/1/2017,Malaysia,All,all,46054
1/1/2018,Malaysia,All,all,46611
1/1/2019,Malaysia,All,all,46988
1/1/2020,Malaysia,All,all,48305
1/1/2021,Malaysia,All,all,49781
1/1/2022,Malaysia,All,all,49985
